file,conf,method,vol_auc,slice_auc
BRATS_178.nii.gz,0.9990,tcav_enhancing,0.963878,0.998773
BRATS_178.nii.gz,0.9990,tcav_non_enhancing,0.980655,0.998739
BRATS_178.nii.gz,0.9990,random,0.950859,0.998785
BRATS_188.nii.gz,0.9987,gradcam,0.963859,0.998410
BRATS_188.nii.gz,0.9987,ig,0.957445,0.998392
BRATS_188.nii.gz,0.9987,occlusion,0.952873,0.998392
BRATS_188.nii.gz,0.9987,tcav_edema,0.991870,0.998464
BRATS_188.nii.gz,0.9987,tcav_enhancing,0.993858,0.998472
BRATS_188.nii.gz,0.9987,tcav_non_enhancing,0.992715,0.998493
BRATS_188.nii.gz,0.9987,random,0.993099,0.998481
BRATS_189.nii.gz,0.9821,gradcam,0.964765,0.982079
BRATS_189.nii.gz,0.9821,ig,0.954675,0.983540
BRATS_189.nii.gz,0.9821,occlusion,0.914053,0.976347
BRATS_189.nii.gz,0.9821,tcav_edema,0.980718,0.985095
BRATS_189.nii.gz,0.9821,tcav_enhancing,0.980313,0.985137
BRATS_189.nii.gz,0.9821,tcav_non_enhancing,0.981043,0.985148
BRATS_189.nii.gz,0.9821,random,0.957553,0.983054
BRATS_190.nii.gz,0.9338,gradcam,0.745232,0.924056
BRATS_190.nii.gz,0.9338,ig,0.965613,0.932303
BRATS_190.nii.gz,0.9338,occlusion,0.434229,0.916667
BRATS_190.nii.gz,0.9338,tcav_edema,0.978330,0.934892
BRATS_190.nii.gz,0.9338,tcav_enhancing,0.959054,0.935356
BRATS_190.nii.gz,0.9338,tcav_non_enhancing,0.967246,0.934650
BRATS_190.nii.gz,0.9338,random,0.801521,0.928662
BRATS_200.nii.gz,0.9131,gradcam,0.559376,0.903420
BRATS_200.nii.gz,0.9131,ig,0.959719,0.904468
BRATS_200.nii.gz,0.9131,occlusion,0.530270,0.891436
BRATS_200.nii.gz,0.9131,tcav_edema,0.984036,0.916276
BRATS_200.nii.gz,0.9131,tcav_enhancing,0.958294,0.914385
BRATS_200.nii.gz,0.9131,tcav_non_enhancing,0.962277,0.912270
BRATS_200.nii.gz,0.9131,random,0.938053,0.909479
BRATS_207.nii.gz,0.9834,gradcam,0.942709,0.974878
BRATS_207.nii.gz,0.9834,ig,0.980482,0.948225
BRATS_207.nii.gz,0.9834,occlusion,0.984217,0.971602
BRATS_207.nii.gz,0.9834,tcav_edema,0.981601,0.932617
BRATS_207.nii.gz,0.9834,tcav_enhancing,0.971430,0.938371
BRATS_207.nii.gz,0.9834,tcav_non_enhancing,0.968215,0.926814
BRATS_207.nii.gz,0.9834,random,0.969884,0.956402
BRATS_210.nii.gz,0.8253,gradcam,0.048532,0.711432
BRATS_210.nii.gz,0.8253,ig,0.057203,0.715563
BRATS_210.nii.gz,0.8253,occlusion,0.052865,0.705242
BRATS_210.nii.gz,0.8253,tcav_edema,0.046833,0.713833
BRATS_210.nii.gz,0.8253,tcav_enhancing,0.049386,0.708196
BRATS_210.nii.gz,0.8253,tcav_non_enhancing,0.048193,0.707409
BRATS_210.nii.gz,0.8253,random,0.156633,0.763253
BRATS_219.nii.gz,0.9996,gradcam,0.047957,0.998095
BRATS_219.nii.gz,0.9996,ig,0.074470,0.998458
BRATS_219.nii.gz,0.9996,occlusion,0.049452,0.997636
BRATS_219.nii.gz,0.9996,tcav_edema,0.074825,0.998175
BRATS_219.nii.gz,0.9996,tcav_enhancing,0.079547,0.998299
BRATS_219.nii.gz,0.9996,tcav_non_enhancing,0.068502,0.998273
BRATS_219.nii.gz,0.9996,random,0.384469,0.998941
BRATS_221.nii.gz,0.8947,gradcam,0.927640,0.890625
BRATS_221.nii.gz,0.8947,ig,0.966891,0.902310
