dataset,arch,operator,file,conf,method,vol_auc,slice_auc
brats,reference,context-nn,vol0046,0.9788,random,0.375236,0.964769
brats,reference,context-nn,vol0047,0.9785,gradcam,0.743318,0.977749
brats,reference,context-nn,vol0047,0.9785,ig,0.703939,0.976453
brats,reference,context-nn,vol0047,0.9785,occlusion,0.523998,0.972470
brats,reference,context-nn,vol0047,0.9785,random,0.937112,0.977806
brats,reference,context-nn,vol0048,0.7261,gradcam,0.813512,0.761327
brats,reference,context-nn,vol0048,0.7261,ig,0.694085,0.764428
brats,reference,context-nn,vol0048,0.7261,occlusion,0.357747,0.730723
brats,reference,context-nn,vol0048,0.7261,random,0.916222,0.753885
brats,reference,context-nn,vol0049,0.8956,gradcam,0.130534,0.858305
brats,reference,context-nn,vol0049,0.8956,ig,0.124920,0.852956
brats,reference,context-nn,vol0049,0.8956,occlusion,0.283956,0.846626
brats,reference,context-nn,vol0049,0.8956,random,0.373960,0.862973
brats,reference,context-nn,vol0050,0.8891,gradcam,0.044939,0.840073
brats,reference,context-nn,vol0050,0.8891,ig,0.152994,0.823909
brats,reference,context-nn,vol0050,0.8891,occlusion,0.117399,0.822341
brats,reference,context-nn,vol0050,0.8891,random,0.308313,0.848018
brats,reference,context-nn,vol0051,0.8311,gradcam,0.957021,0.847561
brats,reference,context-nn,vol0051,0.8311,ig,0.918586,0.837056
brats,reference,context-nn,vol0051,0.8311,occlusion,0.749783,0.830411
brats,reference,context-nn,vol0051,0.8311,random,0.916223,0.843128
brats,reference,context-nn,vol0052,0.9455,gradcam,0.108866,0.918366
brats,reference,context-nn,vol0052,0.9455,ig,0.195638,0.908927
brats,reference,context-nn,vol0052,0.9455,occlusion,0.202972,0.914023
brats,reference,context-nn,vol0052,0.9455,random,0.330358,0.918205
brats,reference,context-nn,vol0053,0.9520,gradcam,0.070505,0.932458
brats,reference,context-nn,vol0053,0.9520,ig,0.287164,0.931009
brats,reference,context-nn,vol0053,0.9520,occlusion,0.024932,0.928401
brats,reference,context-nn,vol0053,0.9520,random,0.496658,0.931197
brats,reference,context-nn,vol0054,0.8631,gradcam,0.033138,0.813607
